"lag","attTwfe","seTwfe","attDcdh","seDcdh","uciTwfe","lciTwfe","uciDcdh","lciDcdh","trueEffect"
-5,-0.0569827276458259,2.81901309255982,-0.023549016332913,0.036247036761994,5.46818140571829,-5.58214686100994,0.0474938702668946,-0.0945919029327206,0
-4,-0.369985464700016,2.78456574737828,-0.00932653222555744,0.0557686947552447,5.08766311274527,-5.8276340421453,0.0999781009595299,-0.118631165410645,0
-3,-0.761800228445204,2.71550479651239,0.0603306542938614,0.0270778078403561,4.56049137256484,-6.08409182945525,0.113402182441256,0.00725912614646716,0
-2,-0.980127873672352,2.76553871545895,-0.0627506169466334,0.0443840337040547,4.44022840647836,-6.40048415382306,0.0242404906019256,-0.149741724495192,0
-1,0,0,0.0543176632307767,0.0445745551667026,0,0,0.141682185984408,-0.033046859522854,0
0,-0.810165633102926,2.68179135247027,1.15122466468331,0.0541635997314088,4.44604883178976,-6.06638009799561,1.25738336942991,1.04506595993671,1.28
1,-0.825553364699815,2.57936469945541,1.58826239373041,0.0741582367467171,4.22990854922676,-5.88101527862639,1.73360986691097,1.44291492054985,1.66
2,-0.717191665657786,2.40902789381644,1.87831341145212,0.0583971479860915,4.00441624397483,-5.4387995752904,1.99276971830471,1.76385710459952,2.04
3,-0.769421546269322,2.26950183339688,2.36924507749129,0.0632080212113933,3.67872031003618,-5.21756340257482,2.49313052259966,2.24535963238292,2.42
4,-0.790013028398045,2.11447543806078,2.69083497350685,0.0797565690747152,3.35428267639563,-4.93430873319172,2.84715497642377,2.53451497058993,2.8
5,-0.689723244290868,2.08217579196385,3.06465203595576,0.0735311189285426,3.39126631743943,-4.77071280602117,3.20877038079864,2.92053369111289,3.18
